wmo,regiao,uf,estacao,latitude,longitude,altitude,data_de_fundacao,source_file
A001,CO,DF,BRASILIA,"-15,78944444","-47,92583332","1160,96",07/05/00,inmet_CO_DF_A001_BRASILIA_01-01-2024_A_31-12-2024_dados.csv
A042,CO,DF,BRAZLANDIA,"-15,59972221","-48,1311111",1143,19/07/17,inmet_CO_DF_A042_BRAZLANDIA_01-01-2024_A_31-12-2024_dados.csv
A045,CO,DF,AGUAS EMENDADAS,"-15,596491","-47,625801","1030,36",03/10/08,inmet_CO_DF_A045_AGUAS-EMENDADAS_01-01-2024_A_31-12-2024_dados.csv
A046,CO,DF,GAMA (PONTE ALTA),"-15,93527777","-48,13749999",990,01/10/14,inmet_CO_DF_A046_GAMA-(PONTE-ALTA)_01-01-2024_A_31-12-2024_dados.csv
A047,CO,DF,PARANOA (COOPA-DF),"-16,012222","-47,557417",1043,07/02/17,inmet_CO_DF_A047_PARANOA-(COOPA-DF)_01-01-2024_A_31-12-2024_dados.csv
A002,CO,GO,GOIANIA,"-16,64277777","-49,22027777","727,3",29/05/01,inmet_CO_GO_A002_GOIANIA_01-01-2024_A_31-12-2024_dados.csv
A003,CO,GO,MORRINHOS,"-17,74499999","-49,10166666","751,09",25/05/01,inmet_CO_GO_A003_MORRINHOS_01-01-2024_A_31-12-2024_dados.csv
A005,CO,GO,PORANGATU,"-13,30944444","-49,11749999",365,04/06/01,inmet_CO_GO_A005_PORANGATU_01-01-2024_A_31-12-2024_dados.csv
A011,CO,GO,SAO SIMAO,"-18,96916666","-50,63333333","492,45",15/07/06,inmet_CO_GO_A011_SAO-SIMAO_01-01-2024_A_31-12-2024_dados.csv
A012,CO,GO,LUZIANIA,"-16,26055555","-47,96694443","1000,82",21/10/06,inmet_CO_GO_A012_LUZIANIA_01-01-2024_A_31-12-2024_dados.csv
A013,CO,GO,ARAGARCAS,"-15,90277777","-52,24527777","327,35",13/07/07,inmet_CO_GO_A013_ARAGARCAS_01-01-2024_A_31-12-2024_dados.csv
A014,CO,GO,GOIAS,"-15,93972221","-50,14138888","512,86",18/07/07,inmet_CO_GO_A014_GOIAS_01-01-2024_A_31-12-2024_dados.csv
A015,CO,GO,ITAPACI,"-14,97972221","-49,53944444",551,03/02/07,inmet_CO_GO_A015_ITAPACI_01-01-2024_A_31-12-2024_dados.csv
A016,CO,GO,JATAI,"-17,9236111","-51,71749999","670,08",23/05/07,inmet_CO_GO_A016_JATAI_01-01-2024_A_31-12-2024_dados.csv
A017,CO,GO,POSSE,"-14,08916666","-46,36638888",830,18/04/07,inmet_CO_GO_A017_POSSE_01-01-2024_A_31-12-2024_dados.csv
A022,CO,GO,GOIANESIA,"-15,22027777","-48,98999999","667,01",02/06/07,inmet_CO_GO_A022_GOIANESIA_01-01-2024_A_31-12-2024_dados.csv
A023,CO,GO,CAIAPONIA,"-16,96694443","-51,81749999","740,1",21/05/07,inmet_CO_GO_A023_CAIAPONIA_01-01-2024_A_31-12-2024_dados.csv
A025,CO,GO,RIO VERDE,"-17,78527777","-50,965","780,11",17/05/07,inmet_CO_GO_A025_RIO-VERDE_01-01-2024_A_31-12-2024_dados.csv
A026,CO,GO,MINEIROS,"-17,45472222","-52,60111111",862,24/11/07,inmet_CO_GO_A026_MINEIROS_01-01-2024_A_31-12-2024_dados.csv
A028,CO,GO,IPORA,"-16,42305554","-51,14888888","610,41",24/06/13,inmet_CO_GO_A028_IPORA_01-01-2024_A_31-12-2024_dados.csv
A029,CO,GO,EDEIA,"-17,33694444","-49,91472222",608,26/08/17,inmet_CO_GO_A029_EDEIA_01-01-2024_A_31-12-2024_dados.csv
A031,CO,GO,SAO MIGUEL DO ARAGUAIA,"-12,82055554","-50,33583333",210,29/06/17,inmet_CO_GO_A031_SAO-MIGUEL-DO-ARAGUAIA_01-01-2024_A_31-12-2024_dados.csv
A032,CO,GO,MONTE ALEGRE DE GOIAS,"-13,25361111","-46,89027777",552,07/06/07,inmet_CO_GO_A032_MONTE-ALEGRE-DE-GOIAS_01-01-2024_A_31-12-2024_dados.csv
A033,CO,GO,PIRES DO RIO,"-17,30416666","-48,28416666","757,27",12/10/07,inmet_CO_GO_A033_PIRES-DO-RIO_01-01-2024_A_31-12-2024_dados.csv
A034,CO,GO,CATALAO,"-18,154779","-47,927614","900,72",31/01/08,inmet_CO_GO_A034_CATALAO_01-01-2024_A_31-12-2024_dados.csv
A036,CO,GO,CRISTALINA,"-16,78499999","-47,61305555","1211,08",14/12/07,inmet_CO_GO_A036_CRISTALINA_01-01-2024_A_31-12-2024_dados.csv
A056,CO,GO,CRISTALINA (FAZENDA SANTA MONICA),"-16,39944444","-47,62583332",932,25/01/18,inmet_CO_GO_A056_CRISTALINA-(FAZENDA-SANTA-MONICA)_01-01-2024_A_31-12-2024_dados.csv
A702,CO,MS,CAMPO GRANDE,"-20,44722221","-54,72249999","528,47",10/09/01,inmet_CO_MS_A702_CAMPO-GRANDE_01-01-2024_A_31-12-2024_dados.csv
